fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
721260,David Gálvez,UTC,2021-08-14T17:30:00+00:00,1628962200,1628962200.0,1628965800.0,1478.0,Estadi Municipal de Montilivi,Girona,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,547,Girona,https://media.api-sports.io/football/teams/547.png,True,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
721261,José López,UTC,2021-08-13T18:00:00+00:00,1628877600,1628877600.0,1628881200.0,1480.0,Estadio El Alcoraz,Huesca,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,726,Huesca,https://media.api-sports.io/football/teams/726.png,True,545,Eibar,https://media.api-sports.io/football/teams/545.png,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
721262,Dámaso Arcediano,UTC,2021-08-15T20:00:00+00:00,1629057600,1629057600.0,1629061200.0,1481.0,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,720,Valladolid,https://media.api-sports.io/football/teams/720.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
721263,Juan Pulido,UTC,2021-08-16T18:00:00+00:00,1629136800,1629136800.0,1629140400.0,1483.0,Estadio La Rosaleda,Málaga,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,535,Malaga,https://media.api-sports.io/football/teams/535.png,,799,Mirandes,https://media.api-sports.io/football/teams/799.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
721264,Alejandro Quintero,UTC,2021-08-15T17:30:00+00:00,1629048600,1629048600.0,1629052200.0,1490.0,Estadio Nuevo Carlos Tartiere,Oviedo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,718,Oviedo,https://media.api-sports.io/football/teams/718.png,,716,Lugo,https://media.api-sports.io/football/teams/716.png,,2.0,2.0,2.0,0.0,2.0,2.0,,,,
721265,Javier Iglesias,UTC,2021-08-14T20:00:00+00:00,1628971200,1628971200.0,1628974800.0,3708.0,Estadio El Toralín,Ponferrada,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,True,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
721266,Víctor García,UTC,2021-08-14T15:00:00+00:00,1628953200,1628953200.0,1628956800.0,1491.0,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,True,537,Leganes,https://media.api-sports.io/football/teams/537.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
721267,Gorka Sagues,UTC,2021-08-15T15:00:00+00:00,1629039600,1629039600.0,1629043200.0,1495.0,Estadio Municipal El Molinón,Gijón,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,True,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
721268,Iosu Galech,UTC,2021-08-13T20:00:00+00:00,1628884800,1628884800.0,1628888400.0,1493.0,Estadio de la Romareda,Zaragoza,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
721269,Aitor Gorostegui,UTC,2021-08-16T20:00:00+00:00,1629144000,1629144000.0,1629147600.0,3976.0,Estadio Municipal Cartagonova,Cartagena,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2021,Regular Season - 1,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,False,723,Almeria,https://media.api-sports.io/football/teams/723.png,True,1.0,3.0,0.0,2.0,1.0,3.0,,,,
