team,id
Las Palmas,534
Malaga,535
Leganes,537
Levante,539
Espanyol,540
Alaves,542
Deportivo La Coruna,544
Eibar,545
Girona,547
Alcorcon,711
Cordoba,713
Gimnastic,714
Granada CF,715
Lugo,716
Numancia,717
Oviedo,718
Tenerife,719
Valladolid,720
Albacete,722
Almeria,723
Cadiz,724
Huesca,726
Osasuna,727
Rayo Vallecano,728
Reus,729
Sporting Gijon,731
Zaragoza,732
Elche,797
Mallorca,798
Mirandes,799
Extremadura,860
Rayo Majadahonda,861
Racing Santander,4665
Fuenlabrada,4906
Ponferradina,4907
Castellón,5254
FC Cartagena,5262
UD Logroñés,5280
FC Andorra,8157
Amorebieta,9380
Ibiza,9390
Burgos,9580
Real Sociedad II,9585
Sabadell,9593
Villarreal II,9595
