,fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name
0,27519,2018-08-17 20:00:00+00:00,1534536000,141,Segunda Division,Spain,2018,1,722,Albacete,544,Deportivo La Coruna
1,27520,2018-08-18 18:30:00+00:00,1534617000,141,Segunda Division,Spain,2018,1,711,Alcorcon,731,Sporting Gijon
2,27521,2018-08-17 18:00:00+00:00,1534528800,141,Segunda Division,Spain,2018,1,724,Cadiz,723,Almeria
3,27522,2018-08-18 20:00:00+00:00,1534622400,141,Segunda Division,Spain,2018,1,713,Cordoba,717,Numancia
4,27523,2018-08-18 17:00:00+00:00,1534611600,141,Segunda Division,Spain,2018,1,797,Elche,715,Granada CF
5,27524,2018-08-20 18:00:00+00:00,1534788000,141,Segunda Division,Spain,2018,1,714,Gimnastic,719,Tenerife
6,27525,2018-08-19 20:00:00+00:00,1534708800,141,Segunda Division,Spain,2018,1,534,Las Palmas,729,Reus
7,27526,2018-08-18 17:30:00+00:00,1534613400,141,Segunda Division,Spain,2018,1,716,Lugo,535,Malaga
8,27527,2018-08-19 17:00:00+00:00,1534698000,141,Segunda Division,Spain,2018,1,798,Mallorca,727,Osasuna
9,27528,2018-08-19 17:00:00+00:00,1534698000,141,Segunda Division,Spain,2018,1,718,Oviedo,860,Extremadura
10,27529,2018-08-19 18:30:00+00:00,1534703400,141,Segunda Division,Spain,2018,1,732,Zaragoza,861,Rayo Majadahonda
11,27530,2018-08-26 20:00:00+00:00,1535313600,141,Segunda Division,Spain,2018,2,723,Almeria,719,Tenerife
12,27531,2018-08-25 20:00:00+00:00,1535227200,141,Segunda Division,Spain,2018,2,713,Cordoba,718,Oviedo
13,27532,2018-08-24 20:00:00+00:00,1535140800,141,Segunda Division,Spain,2018,2,860,Extremadura,544,Deportivo La Coruna
14,27533,2018-08-26 18:30:00+00:00,1535308200,141,Segunda Division,Spain,2018,2,715,Granada CF,716,Lugo
15,27534,2018-08-25 18:30:00+00:00,1535221800,141,Segunda Division,Spain,2018,2,534,Las Palmas,722,Albacete
16,27535,2018-08-24 20:00:00+00:00,1535140800,141,Segunda Division,Spain,2018,2,535,Malaga,711,Alcorcon
17,27536,2018-08-25 17:00:00+00:00,1535216400,141,Segunda Division,Spain,2018,2,717,Numancia,724,Cadiz
18,27537,2018-08-26 17:30:00+00:00,1535304600,141,Segunda Division,Spain,2018,2,727,Osasuna,797,Elche
19,27538,2018-08-27 18:00:00+00:00,1535392800,141,Segunda Division,Spain,2018,2,861,Rayo Majadahonda,798,Mallorca
20,27539,2018-08-25 17:00:00+00:00,1535216400,141,Segunda Division,Spain,2018,2,729,Reus,732,Zaragoza
21,27540,2018-08-26 17:00:00+00:00,1535302800,141,Segunda Division,Spain,2018,2,731,Sporting Gijon,714,Gimnastic
22,27541,2018-09-02 18:00:00+00:00,1535911200,141,Segunda Division,Spain,2018,3,722,Albacete,713,Cordoba
23,27542,2018-08-31 18:00:00+00:00,1535738400,141,Segunda Division,Spain,2018,3,711,Alcorcon,798,Mallorca
24,27543,2018-09-03 19:00:00+00:00,1536001200,141,Segunda Division,Spain,2018,3,723,Almeria,535,Malaga
