index,Team,MP,W,D,L,GF,GA,GD,Pts,season,round,league_id
1,534,1,1,0,0,2,0,2,3,2018,1,141
2,724,1,1,0,0,1,0,1,3,2018,1,141
3,535,1,1,0,0,2,1,1,3,2018,1,141
4,798,1,1,0,0,1,0,1,3,2018,1,141
5,732,1,1,0,0,2,1,1,3,2018,1,141
6,722,1,0,1,0,1,1,0,1,2018,1,141
7,711,1,0,1,0,1,1,0,1,2018,1,141
8,713,1,0,1,0,3,3,0,1,2018,1,141
9,544,1,0,1,0,1,1,0,1,2018,1,141
10,797,1,0,1,0,0,0,0,1,2018,1,141
11,860,1,0,1,0,1,1,0,1,2018,1,141
12,714,1,0,1,0,1,1,0,1,2018,1,141
13,715,1,0,1,0,0,0,0,1,2018,1,141
14,717,1,0,1,0,3,3,0,1,2018,1,141
15,718,1,0,1,0,1,1,0,1,2018,1,141
16,731,1,0,1,0,1,1,0,1,2018,1,141
17,719,1,0,1,0,1,1,0,1,2018,1,141
18,723,1,0,0,1,0,1,-1,0,2018,1,141
19,716,1,0,0,1,1,2,-1,0,2018,1,141
20,727,1,0,0,1,0,1,-1,0,2018,1,141
21,861,1,0,0,1,1,2,-1,0,2018,1,141
22,729,1,0,0,1,0,2,-2,0,2018,1,141
1,535,2,2,0,0,3,1,2,6,2018,2,141
2,798,2,2,0,0,2,0,2,6,2018,2,141
3,534,2,1,1,0,3,1,2,4,2018,2,141
4,718,2,1,1,0,5,3,2,4,2018,2,141
5,731,2,1,1,0,3,1,2,4,2018,2,141
6,724,2,1,1,0,2,1,1,4,2018,2,141
7,544,2,1,1,0,2,1,1,4,2018,2,141
8,732,2,1,1,0,2,1,1,4,2018,2,141
9,722,2,0,2,0,2,2,0,2,2018,2,141
10,797,2,0,2,0,1,1,0,2,2018,2,141
11,715,2,0,2,0,1,1,0,2,2018,2,141
12,717,2,0,2,0,4,4,0,2,2018,2,141
13,719,2,0,2,0,2,2,0,2,2018,2,141
14,711,2,0,1,1,1,2,-1,1,2018,2,141
15,723,2,0,1,1,1,2,-1,1,2018,2,141
16,860,2,0,1,1,1,2,-1,1,2018,2,141
17,716,2,0,1,1,2,3,-1,1,2018,2,141
18,727,2,0,1,1,1,2,-1,1,2018,2,141
19,713,2,0,1,1,5,7,-2,1,2018,2,141
20,714,2,0,1,1,1,3,-2,1,2018,2,141
21,729,2,0,1,1,0,2,-2,1,2018,2,141
22,861,2,0,0,2,1,3,-2,0,2018,2,141
1,535,3,3,0,0,4,1,3,9,2018,3,141
2,731,3,2,1,0,5,1,4,7,2018,3,141
3,798,3,2,0,1,2,1,1,6,2018,3,141
4,722,3,1,2,0,5,2,3,5,2018,3,141
5,715,3,1,2,0,3,1,2,5,2018,3,141
6,534,3,1,2,0,4,2,2,5,2018,3,141
7,718,3,1,2,0,6,4,2,5,2018,3,141
8,724,3,1,2,0,3,2,1,5,2018,3,141
9,544,3,1,2,0,4,3,1,5,2018,3,141
10,732,3,1,2,0,3,2,1,5,2018,3,141
11,711,3,1,1,1,2,2,0,4,2018,3,141
12,716,3,1,1,1,5,5,0,4,2018,3,141
13,729,3,1,1,1,2,2,0,4,2018,3,141
14,719,3,0,3,0,4,4,0,3,2018,3,141
15,861,3,1,0,2,2,3,-1,3,2018,3,141
16,717,3,0,2,1,6,7,-1,2,2018,3,141
17,797,3,0,2,1,1,3,-2,2,2018,3,141
18,723,3,0,1,2,1,3,-2,1,2018,3,141
19,860,3,0,1,2,1,4,-3,1,2018,3,141
20,714,3,0,1,2,1,4,-3,1,2018,3,141
21,727,3,0,1,2,1,4,-3,1,2018,3,141
22,713,3,0,1,2,5,10,-5,1,2018,3,141
1,535,4,4,0,0,5,1,4,12,2018,4,141
2,798,4,3,0,1,3,1,2,9,2018,4,141
3,534,4,2,2,0,8,2,6,8,2018,4,141
4,732,4,2,2,0,7,2,5,8,2018,4,141
5,722,4,2,2,0,7,3,4,8,2018,4,141
6,715,4,2,2,0,6,2,4,8,2018,4,141
7,544,4,2,2,0,5,3,2,8,2018,4,141
8,731,4,2,1,1,5,2,3,7,2018,4,141
9,861,4,2,0,2,3,3,0,6,2018,4,141
10,711,4,1,2,1,2,2,0,5,2018,4,141
11,724,4,1,2,1,3,3,0,5,2018,4,141
12,717,4,1,2,1,7,7,0,5,2018,4,141
13,718,4,1,2,1,6,8,-2,5,2018,4,141
14,716,4,1,1,2,5,6,-1,4,2018,4,141
15,727,4,1,1,2,4,5,-1,4,2018,4,141
16,729,4,1,1,2,3,4,-1,4,2018,4,141
17,719,4,0,3,1,4,5,-1,3,2018,4,141
18,797,4,0,2,2,1,4,-3,2,2018,4,141
19,713,4,0,2,2,5,10,-5,2,2018,4,141
20,723,4,0,1,3,2,6,-4,1,2018,4,141
21,860,4,0,1,3,2,7,-5,1,2018,4,141
22,714,4,0,1,3,1,8,-7,1,2018,4,141
1,535,5,5,0,0,8,1,7,15,2018,5,141
2,715,5,3,2,0,9,2,7,11,2018,5,141
3,534,5,3,2,0,10,3,7,11,2018,5,141
4,798,5,3,1,1,4,2,2,10,2018,5,141
5,722,5,2,3,0,8,4,4,9,2018,5,141
6,732,5,2,2,1,8,4,4,8,2018,5,141
7,731,5,2,2,1,6,3,3,8,2018,5,141
8,711,5,2,2,1,3,2,1,8,2018,5,141
9,544,5,2,2,1,5,4,1,8,2018,5,141
10,718,5,2,2,1,8,8,0,8,2018,5,141
11,729,5,2,1,2,4,4,0,7,2018,5,141
12,724,5,1,3,1,4,4,0,6,2018,5,141
13,717,5,1,3,1,8,8,0,6,2018,5,141
14,861,5,2,0,3,3,6,-3,6,2018,5,141
15,727,5,1,1,3,4,6,-2,4,2018,5,141
16,723,5,1,1,3,4,7,-3,4,2018,5,141
17,716,5,1,1,3,5,8,-3,4,2018,5,141
18,714,5,1,1,3,2,8,-6,4,2018,5,141
19,719,5,0,3,2,4,6,-2,3,2018,5,141
20,797,5,0,3,2,2,5,-3,3,2018,5,141
21,713,5,0,2,3,5,13,-8,2,2018,5,141
22,860,5,0,1,4,3,9,-6,1,2018,5,141
1,535,6,5,0,1,8,2,6,15,2018,6,141
2,534,6,4,2,0,11,3,8,14,2018,6,141
3,722,6,3,3,0,11,5,6,12,2018,6,141
4,715,6,3,2,1,10,4,6,11,2018,6,141
5,711,6,3,2,1,5,2,3,11,2018,6,141
6,544,6,3,2,1,7,5,2,11,2018,6,141
7,798,6,3,1,2,5,5,0,10,2018,6,141
8,718,6,2,3,1,9,9,0,9,2018,6,141
9,731,6,2,2,2,6,4,2,8,2018,6,141
10,732,6,2,2,2,8,6,2,8,2018,6,141
11,729,6,2,2,2,5,5,0,8,2018,6,141
12,723,6,2,1,3,6,7,-1,7,2018,6,141
13,716,6,2,1,3,7,8,-1,7,2018,6,141
14,727,6,2,1,3,5,6,-1,7,2018,6,141
15,724,6,1,3,2,4,6,-2,6,2018,6,141
16,717,6,1,3,2,8,10,-2,6,2018,6,141
17,861,6,2,0,4,4,10,-6,6,2018,6,141
18,714,6,1,2,3,3,9,-6,5,2018,6,141
