index,Team,MP,W,D,L,GF,GA,GD,Pts,season,round,league_id
1,535,1,1,0,0,2,1,1,3,2018,1,141
2,544,1,0,1,0,1,1,0,1,2018,1,141
3,860,1,0,1,0,1,1,0,1,2018,1,141
4,715,1,0,1,0,0,0,0,1,2018,1,141
5,717,1,0,1,0,3,3,0,1,2018,1,141
6,731,1,0,1,0,1,1,0,1,2018,1,141
7,719,1,0,1,0,1,1,0,1,2018,1,141
8,723,1,0,0,1,0,1,-1,0,2018,1,141
9,727,1,0,0,1,0,1,-1,0,2018,1,141
10,861,1,0,0,1,1,2,-1,0,2018,1,141
11,729,1,0,0,1,0,2,-2,0,2018,1,141
1,544,2,1,1,0,2,1,1,4,2018,2,141
2,718,1,1,0,0,4,2,2,3,2018,2,141
3,535,1,1,0,0,2,1,1,3,2018,2,141
4,798,1,1,0,0,1,0,1,3,2018,2,141
5,719,2,0,2,0,2,2,0,2,2018,2,141
6,722,1,0,1,0,1,1,0,1,2018,2,141
7,724,1,0,1,0,1,1,0,1,2018,2,141
8,797,1,0,1,0,1,1,0,1,2018,2,141
9,860,1,0,1,0,1,1,0,1,2018,2,141
10,715,1,0,1,0,0,0,0,1,2018,2,141
11,716,1,0,1,0,1,1,0,1,2018,2,141
12,717,1,0,1,0,3,3,0,1,2018,2,141
13,731,1,0,1,0,1,1,0,1,2018,2,141
14,732,1,0,1,0,0,0,0,1,2018,2,141
15,711,1,0,0,1,0,1,-1,0,2018,2,141
16,723,1,0,0,1,0,1,-1,0,2018,2,141
17,727,1,0,0,1,0,1,-1,0,2018,2,141
18,861,1,0,0,1,1,2,-1,0,2018,2,141
19,714,1,0,0,1,0,2,-2,0,2018,2,141
20,729,1,0,0,1,0,2,-2,0,2018,2,141
1,535,2,2,0,0,3,1,2,6,2018,3,141
2,544,3,1,2,0,4,3,1,5,2018,3,141
3,718,2,1,1,0,5,3,2,4,2018,3,141
4,798,2,1,0,1,1,1,0,3,2018,3,141
5,861,2,1,0,1,2,2,0,3,2018,3,141
6,729,2,1,0,1,2,2,0,3,2018,3,141
7,719,2,0,2,0,2,2,0,2,2018,3,141
8,722,1,0,1,0,1,1,0,1,2018,3,141
9,724,1,0,1,0,1,1,0,1,2018,3,141
10,797,1,0,1,0,1,1,0,1,2018,3,141
11,715,1,0,1,0,0,0,0,1,2018,3,141
12,534,1,0,1,0,1,1,0,1,2018,3,141
13,716,1,0,1,0,1,1,0,1,2018,3,141
14,731,1,0,1,0,1,1,0,1,2018,3,141
15,732,1,0,1,0,0,0,0,1,2018,3,141
16,717,2,0,1,1,5,6,-1,1,2018,3,141
17,860,2,0,1,1,1,3,-2,1,2018,3,141
18,711,1,0,0,1,0,1,-1,0,2018,3,141
19,723,1,0,0,1,0,1,-1,0,2018,3,141
20,714,1,0,0,1,0,2,-2,0,2018,3,141
21,713,1,0,0,1,0,3,-3,0,2018,3,141
22,727,2,0,0,2,0,3,-3,0,2018,3,141
1,535,2,2,0,0,3,1,2,6,2018,4,141
2,544,3,1,2,0,4,3,1,5,2018,4,141
3,732,2,1,1,0,4,0,4,4,2018,4,141
4,715,2,1,1,0,3,1,2,4,2018,4,141
5,718,2,1,1,0,5,3,2,4,2018,4,141
6,722,2,1,1,0,3,2,1,4,2018,4,141
7,798,2,1,0,1,1,1,0,3,2018,4,141
8,861,2,1,0,1,2,2,0,3,2018,4,141
9,729,2,1,0,1,2,2,0,3,2018,4,141
10,719,3,0,2,1,2,3,-1,2,2018,4,141
11,534,1,0,1,0,1,1,0,1,2018,4,141
12,711,2,0,1,1,0,1,-1,1,2018,4,141
13,724,2,0,1,1,1,2,-1,1,2018,4,141
14,797,2,0,1,1,1,2,-1,1,2018,4,141
15,716,2,0,1,1,1,2,-1,1,2018,4,141
16,717,2,0,1,1,5,6,-1,1,2018,4,141
17,731,2,0,1,1,1,2,-1,1,2018,4,141
18,860,2,0,1,1,1,3,-2,1,2018,4,141
19,723,2,0,0,2,1,4,-3,0,2018,4,141
20,713,1,0,0,1,0,3,-3,0,2018,4,141
21,727,2,0,0,2,0,3,-3,0,2018,4,141
22,714,2,0,0,2,0,6,-6,0,2018,4,141
1,718,3,2,1,0,7,3,4,7,2018,5,141
2,535,2,2,0,0,3,1,2,6,2018,5,141
3,729,3,2,0,1,3,2,1,6,2018,5,141
4,544,4,1,2,1,4,4,0,5,2018,5,141
5,732,3,1,1,1,5,2,3,4,2018,5,141
6,715,2,1,1,0,3,1,2,4,2018,5,141
7,722,2,1,1,0,3,2,1,4,2018,5,141
8,534,2,1,1,0,3,2,1,4,2018,5,141
9,798,3,1,1,1,2,2,0,4,2018,5,141
10,861,3,1,0,2,2,5,-3,3,2018,5,141
11,724,3,0,2,1,2,3,-1,2,2018,5,141
12,717,3,0,2,1,6,7,-1,2,2018,5,141
13,719,3,0,2,1,2,3,-1,2,2018,5,141
14,711,2,0,1,1,0,1,-1,1,2018,5,141
15,797,2,0,1,1,1,2,-1,1,2018,5,141
16,716,2,0,1,1,1,2,-1,1,2018,5,141
17,731,2,0,1,1,1,2,-1,1,2018,5,141
18,860,2,0,1,1,1,3,-2,1,2018,5,141
19,723,2,0,0,2,1,4,-3,0,2018,5,141
20,727,3,0,0,3,0,4,-4,0,2018,5,141
