index,Team,MP,W,D,L,GF,GA,GD,Pts,season,round,league_id
1,534,1,1,0,0,2,0,2,3,2018,1,141
2,724,1,1,0,0,1,0,1,3,2018,1,141
3,798,1,1,0,0,1,0,1,3,2018,1,141
4,732,1,1,0,0,2,1,1,3,2018,1,141
5,722,1,0,1,0,1,1,0,1,2018,1,141
6,711,1,0,1,0,1,1,0,1,2018,1,141
7,713,1,0,1,0,3,3,0,1,2018,1,141
8,797,1,0,1,0,0,0,0,1,2018,1,141
9,714,1,0,1,0,1,1,0,1,2018,1,141
10,718,1,0,1,0,1,1,0,1,2018,1,141
11,716,1,0,0,1,1,2,-1,0,2018,1,141
1,534,2,1,1,0,3,1,2,4,2018,2,141
2,731,1,1,0,0,2,0,2,3,2018,2,141
3,724,1,1,0,0,1,0,1,3,2018,2,141
4,535,1,1,0,0,1,0,1,3,2018,2,141
5,798,1,1,0,0,1,0,1,3,2018,2,141
6,732,1,1,0,0,2,1,1,3,2018,2,141
7,722,1,0,1,0,1,1,0,1,2018,2,141
8,711,1,0,1,0,1,1,0,1,2018,2,141
9,723,1,0,1,0,1,1,0,1,2018,2,141
10,797,1,0,1,0,0,0,0,1,2018,2,141
11,714,1,0,1,0,1,1,0,1,2018,2,141
12,715,1,0,1,0,1,1,0,1,2018,2,141
13,717,1,0,1,0,1,1,0,1,2018,2,141
14,727,1,0,1,0,1,1,0,1,2018,2,141
15,718,1,0,1,0,1,1,0,1,2018,2,141
16,729,1,0,1,0,0,0,0,1,2018,2,141
17,713,2,0,1,1,5,7,-2,1,2018,2,141
18,860,1,0,0,1,0,1,-1,0,2018,2,141
19,716,1,0,0,1,1,2,-1,0,2018,2,141
20,861,1,0,0,1,0,1,-1,0,2018,2,141
1,731,2,2,0,0,4,0,4,6,2018,3,141
2,722,2,1,1,0,4,1,3,4,2018,3,141
3,715,2,1,1,0,3,1,2,4,2018,3,141
4,534,2,1,1,0,3,1,2,4,2018,3,141
5,711,2,1,1,0,2,1,1,4,2018,3,141
6,724,2,1,1,0,2,1,1,4,2018,3,141
7,732,2,1,1,0,3,2,1,4,2018,3,141
8,535,1,1,0,0,1,0,1,3,2018,3,141
9,798,1,1,0,0,1,0,1,3,2018,3,141
10,716,2,1,0,1,4,4,0,3,2018,3,141
11,717,1,0,1,0,1,1,0,1,2018,3,141
12,727,1,0,1,0,1,1,0,1,2018,3,141
13,718,1,0,1,0,1,1,0,1,2018,3,141
14,729,1,0,1,0,0,0,0,1,2018,3,141
15,719,1,0,1,0,2,2,0,1,2018,3,141
16,723,2,0,1,1,1,2,-1,1,2018,3,141
17,714,2,0,1,1,1,2,-1,1,2018,3,141
18,713,2,0,1,1,5,7,-2,1,2018,3,141
19,797,2,0,1,1,0,2,-2,1,2018,3,141
20,860,1,0,0,1,0,1,-1,0,2018,3,141
21,861,1,0,0,1,0,1,-1,0,2018,3,141
1,534,3,2,1,0,7,1,6,7,2018,4,141
2,731,2,2,0,0,4,0,4,6,2018,4,141
3,535,2,2,0,0,2,0,2,6,2018,4,141
4,798,2,2,0,0,2,0,2,6,2018,4,141
5,722,2,1,1,0,4,1,3,4,2018,4,141
6,715,2,1,1,0,3,1,2,4,2018,4,141
7,727,2,1,1,0,4,2,2,4,2018,4,141
8,711,2,1,1,0,2,1,1,4,2018,4,141
9,724,2,1,1,0,2,1,1,4,2018,4,141
10,717,2,1,1,0,2,1,1,4,2018,4,141
11,732,2,1,1,0,3,2,1,4,2018,4,141
12,544,1,1,0,0,1,0,1,3,2018,4,141
13,716,2,1,0,1,4,4,0,3,2018,4,141
14,861,2,1,0,1,1,1,0,3,2018,4,141
15,713,3,0,2,1,5,7,-2,2,2018,4,141
16,719,1,0,1,0,2,2,0,1,2018,4,141
17,723,2,0,1,1,1,2,-1,1,2018,4,141
18,714,2,0,1,1,1,2,-1,1,2018,4,141
19,729,2,0,1,1,1,2,-1,1,2018,4,141
20,797,2,0,1,1,0,2,-2,1,2018,4,141
21,718,2,0,1,1,1,5,-4,1,2018,4,141
22,860,2,0,0,2,1,4,-3,0,2018,4,141
1,535,3,3,0,0,5,0,5,9,2018,5,141
2,534,3,2,1,0,7,1,6,7,2018,5,141
3,715,3,2,1,0,6,1,5,7,2018,5,141
4,731,3,2,1,0,5,1,4,7,2018,5,141
5,711,3,2,1,0,3,1,2,7,2018,5,141
6,798,2,2,0,0,2,0,2,6,2018,5,141
7,722,3,1,2,0,5,2,3,5,2018,5,141
8,727,2,1,1,0,4,2,2,4,2018,5,141
9,724,2,1,1,0,2,1,1,4,2018,5,141
10,717,2,1,1,0,2,1,1,4,2018,5,141
11,732,2,1,1,0,3,2,1,4,2018,5,141
12,723,3,1,1,1,3,3,0,4,2018,5,141
13,714,3,1,1,1,2,2,0,4,2018,5,141
14,544,1,1,0,0,1,0,1,3,2018,5,141
15,861,2,1,0,1,1,1,0,3,2018,5,141
16,716,3,1,0,2,4,6,-2,3,2018,5,141
17,713,3,0,2,1,5,7,-2,2,2018,5,141
18,797,3,0,2,1,1,3,-2,2,2018,5,141
19,729,2,0,1,1,1,2,-1,1,2018,5,141
20,719,2,0,1,1,2,3,-1,1,2018,5,141
21,718,2,0,1,1,1,5,-4,1,2018,5,141
22,860,3,0,0,3,2,6,-4,0,2018,5,141
1,534,4,3,1,0,8,1,7,10,2018,6,141
2,535,3,3,0,0,5,0,5,9,2018,6,141
3,715,3,2,1,0,6,1,5,7,2018,6,141
4,731,3,2,1,0,5,1,4,7,2018,6,141
5,727,3,2,1,0,5,2,3,7,2018,6,141
6,711,3,2,1,0,3,1,2,7,2018,6,141
7,544,2,2,0,0,3,1,2,6,2018,6,141
8,798,3,2,0,1,3,3,0,6,2018,6,141
9,722,3,1,2,0,5,2,3,5,2018,6,141
10,723,3,1,1,1,3,3,0,4,2018,6,141
11,714,3,1,1,1,2,2,0,4,2018,6,141
12,724,3,1,1,1,2,3,-1,4,2018,6,141
13,717,3,1,1,1,2,3,-1,4,2018,6,141
14,732,3,1,1,1,3,4,-1,4,2018,6,141
15,713,4,0,3,1,6,8,-2,3,2018,6,141
16,716,3,1,0,2,4,6,-2,3,2018,6,141
17,861,3,1,0,2,2,5,-3,3,2018,6,141
18,729,3,0,2,1,2,3,-1,2,2018,6,141
19,797,3,0,2,1,1,3,-2,2,2018,6,141
20,718,3,0,2,1,2,6,-4,2,2018,6,141
21,719,2,0,1,1,2,3,-1,1,2018,6,141
22,860,3,0,0,3,2,6,-4,0,2018,6,141
1,535,4,4,0,0,6,0,6,12,2018,7,141
2,715,4,3,1,0,10,3,7,10,2018,7,141
3,534,4,3,1,0,8,1,7,10,2018,7,141
4,731,4,3,1,0,6,1,5,10,2018,7,141
5,711,4,3,1,0,5,1,4,10,2018,7,141
6,727,4,2,2,0,5,2,3,8,2018,7,141
7,723,4,2,1,1,5,3,2,7,2018,7,141
8,722,4,1,3,0,7,4,3,6,2018,7,141
9,544,2,2,0,0,3,1,2,6,2018,7,141
10,798,3,2,0,1,3,3,0,6,2018,7,141
11,719,3,1,1,1,3,3,0,4,2018,7,141
