fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
27519,"Valentin Pizarro Gomez, Spain",UTC,2018-08-17T20:00:00+00:00,1534536000,1534536000.0,1534539600.0,,Carlos Belmonte,Albacete,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,722,Albacete,https://media.api-sports.io/football/teams/722.png,,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
27520,"Jorge Figueroa Vazquez, Spain",UTC,2018-08-18T18:30:00+00:00,1534617000,1534617000.0,1534620600.0,,Santo Domingo,Alcorcon,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
27521,"Daniel Jesus Trujillo Suarez, Spain",UTC,2018-08-17T18:00:00+00:00,1534528800,1534528800.0,1534532400.0,1463.0,Estadio Ramon de Carranza,Cadiz,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,724,Cadiz,https://media.api-sports.io/football/teams/724.png,True,723,Almeria,https://media.api-sports.io/football/teams/723.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
27522,"Isidro Diaz de Mera Escuderos, Spain",UTC,2018-08-18T20:00:00+00:00,1534622400,1534622400.0,1534626000.0,1469.0,Estadio Nuevo Arcángel,Cordoba,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,713,Cordoba,https://media.api-sports.io/football/teams/713.png,,717,Numancia,https://media.api-sports.io/football/teams/717.png,,3.0,3.0,1.0,0.0,3.0,3.0,,,,
27523,"Santiago Varon Aceiton,",UTC,2018-08-18T17:00:00+00:00,1534611600,1534611600.0,1534615200.0,1473.0,Estadio Manuel Martínez Valero,Elche,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,797,Elche,https://media.api-sports.io/football/teams/797.png,,715,Granada CF,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
27524,"Saul Ais Reig, Spain",UTC,2018-08-20T18:00:00+00:00,1534788000,1534788000.0,1534791600.0,,Nou Estadi Municipal,Tarragona,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,,719,Tenerife,https://media.api-sports.io/football/teams/719.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27525,"Luis Mario Milla Alvendiz,",UTC,2018-08-19T20:00:00+00:00,1534708800,1534708800.0,1534712400.0,,Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,True,729,Reus,https://media.api-sports.io/football/teams/729.png,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
27526,"Victor Areces Franco, Spain",UTC,2018-08-18T17:30:00+00:00,1534613400,1534613400.0,1534617000.0,,Anxo Carro,Lugo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,716,Lugo,https://media.api-sports.io/football/teams/716.png,False,535,Malaga,https://media.api-sports.io/football/teams/535.png,True,1.0,2.0,1.0,0.0,1.0,2.0,,,,
27527,"Damaso Arcediano Monescillo, Spain",UTC,2018-08-19T17:00:00+00:00,1534698000,1534698000.0,1534701600.0,,Iberostar Estadi,Palma,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,798,Mallorca,https://media.api-sports.io/football/teams/798.png,True,727,Osasuna,https://media.api-sports.io/football/teams/727.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
27528,"Javier Iglesias Villanueva, Spain",UTC,2018-08-19T17:00:00+00:00,1534698000,1534698000.0,1534701600.0,,Jorge Garbajosa,Oviedo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,718,Oviedo,https://media.api-sports.io/football/teams/718.png,,860,Extremadura,https://media.api-sports.io/football/teams/860.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27529,"Cesar Soto Grado, Spain",UTC,2018-08-19T18:30:00+00:00,1534703400,1534703400.0,1534707000.0,,La Romareda,Saragossa,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 1,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,True,861,Rayo Majadahonda,https://media.api-sports.io/football/teams/861.png,False,2.0,1.0,2.0,0.0,2.0,1.0,,,,
27530,"Isidro Diaz de Mera Escuderos, Spain",UTC,2018-08-26T20:00:00+00:00,1535313600,1535313600.0,1535317200.0,,Estadio del Mediterráneo,Almeria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,723,Almeria,https://media.api-sports.io/football/teams/723.png,,719,Tenerife,https://media.api-sports.io/football/teams/719.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27531,"Gorka Sagues Oscoz, Spain",UTC,2018-08-25T20:00:00+00:00,1535227200,1535227200.0,1535230800.0,1469.0,Estadio Nuevo Arcángel,Cordoba,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,713,Cordoba,https://media.api-sports.io/football/teams/713.png,False,718,Oviedo,https://media.api-sports.io/football/teams/718.png,True,2.0,4.0,0.0,2.0,2.0,4.0,,,,
27532,"Oliver de la Fuente Ramos, Spain",UTC,2018-08-24T20:00:00+00:00,1535140800,1535140800.0,1535144400.0,1475.0,Estadio Francisco de la Hera,Almendralejo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,860,Extremadura,https://media.api-sports.io/football/teams/860.png,False,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
27533,"Aitor Gorostegui Fernandez Orte, Spain",UTC,2018-08-26T18:30:00+00:00,1535308200,1535308200.0,1535311800.0,,Nuevo Los Cármenes,Granada,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,715,Granada CF,https://media.api-sports.io/football/teams/715.png,,716,Lugo,https://media.api-sports.io/football/teams/716.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27534,"Ruben Avalos Barrera,",UTC,2018-08-25T18:30:00+00:00,1535221800,1535221800.0,1535225400.0,,Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,722,Albacete,https://media.api-sports.io/football/teams/722.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27535,"Juan Luis Pulido Santana, Spain",UTC,2018-08-24T20:00:00+00:00,1535140800,1535140800.0,1535144400.0,,La Rosaleda,Malaga,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,535,Malaga,https://media.api-sports.io/football/teams/535.png,True,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
27536,"Inaki Vicandi Garrido, Spain",UTC,2018-08-25T17:00:00+00:00,1535216400,1535216400.0,1535220000.0,,Los Pajaritos,Soria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,717,Numancia,https://media.api-sports.io/football/teams/717.png,,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
27537,"Daniel Ocon Arraiz, Spain",UTC,2018-08-26T17:30:00+00:00,1535304600,1535304600.0,1535308200.0,,Estadio El Sadar,Pamplona,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,727,Osasuna,https://media.api-sports.io/football/teams/727.png,,797,Elche,https://media.api-sports.io/football/teams/797.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
27538,"Abraham Dominguez Cervantes, Spain",UTC,2018-08-27T18:00:00+00:00,1535392800,1535392800.0,1535396400.0,,Estadio Cerro del Espino,Majadahonda,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,861,Rayo Majadahonda,https://media.api-sports.io/football/teams/861.png,False,798,Mallorca,https://media.api-sports.io/football/teams/798.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
27539,"Jose Antonio Lopez Toca,",UTC,2018-08-25T17:00:00+00:00,1535216400,1535216400.0,1535220000.0,,Estadio Municipal de Reus,Reus,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,729,Reus,https://media.api-sports.io/football/teams/729.png,,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
27540,"David Perez Pallas, Spain",UTC,2018-08-26T17:00:00+00:00,1535302800,1535302800.0,1535306400.0,,El Molinón-Enrique Castro Quini,Gijon,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 2,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,True,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
27541,"Alvaro Moreno Aragon,",UTC,2018-09-02T18:00:00+00:00,1535911200,1535911200.0,1535914800.0,,Carlos Belmonte,Albacete,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,722,Albacete,https://media.api-sports.io/football/teams/722.png,True,713,Cordoba,https://media.api-sports.io/football/teams/713.png,False,3.0,0.0,2.0,0.0,3.0,0.0,,,,
27542,"Victor Areces Franco, Spain",UTC,2018-08-31T18:00:00+00:00,1535738400,1535738400.0,1535742000.0,,Santo Domingo,Alcorcon,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,True,798,Mallorca,https://media.api-sports.io/football/teams/798.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
27543,"Valentin Pizarro Gomez, Spain",UTC,2018-09-03T19:00:00+00:00,1536001200,1536001200.0,1536004800.0,,Estadio del Mediterráneo,Almeria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,723,Almeria,https://media.api-sports.io/football/teams/723.png,False,535,Malaga,https://media.api-sports.io/football/teams/535.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
27544,"Damaso Arcediano Monescillo, Spain",UTC,2018-09-01T17:00:00+00:00,1535821200,1535821200.0,1535824800.0,1463.0,Estadio Ramon de Carranza,Cadiz,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,718,Oviedo,https://media.api-sports.io/football/teams/718.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
27545,"Javier Iglesias Villanueva, Spain",UTC,2018-09-01T16:00:00+00:00,1535817600,1535817600.0,1535821200.0,1473.0,Estadio Manuel Martínez Valero,Elche,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,797,Elche,https://media.api-sports.io/football/teams/797.png,False,729,Reus,https://media.api-sports.io/football/teams/729.png,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
