fixture_id,teams_home_winner,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,halftime_goals_total,fulltime_goals_total,match_result
27521,True,False,1,0,0,0,0,1,1
27519,,,1,1,0,0,0,2,0
27523,,,0,0,0,0,0,0,0
27526,False,True,1,2,1,0,1,3,2
27520,,,1,1,0,0,0,2,0
27522,,,3,3,1,0,1,6,0
27527,True,False,1,0,1,0,1,1,1
27528,,,1,1,1,0,1,2,0
27529,True,False,2,1,2,0,2,3,1
27525,True,False,2,0,1,0,1,2,1
27524,,,1,1,1,0,1,2,0
27532,False,True,0,1,0,0,0,1,2
27535,True,False,1,0,0,0,0,1,1
27539,,,0,0,0,0,0,0,0
27536,,,1,1,1,1,2,2,0
27534,,,1,1,1,0,1,2,0
27531,False,True,2,4,0,2,2,6,2
27540,True,False,2,0,1,0,1,2,1
27537,,,1,1,0,0,0,2,0
27533,,,1,1,1,0,1,2,0
27530,,,1,1,1,0,1,2,0
27538,False,True,0,1,0,1,1,1,2
27542,True,False,1,0,1,0,1,1,1
27548,True,False,3,2,0,2,2,5,1
27545,False,True,0,2,0,1,1,2,2
27551,,,1,1,1,0,1,2,0
27544,,,1,1,0,0,0,2,0
27550,,,2,2,0,1,1,4,0
27546,False,True,0,1,0,0,0,1,2
27549,True,False,2,0,0,0,0,2,1
27541,True,False,3,0,2,0,2,3,1
27547,True,False,2,0,1,0,1,2,1
27543,False,True,0,1,0,1,1,1,2
27555,True,False,4,0,1,0,1,4,1
27557,True,False,1,0,0,0,0,1,1
27559,True,False,3,1,1,1,2,4,1
27556,True,False,1,0,1,0,1,1,1
27560,False,True,0,4,0,1,1,4,2
27562,False,True,1,2,0,1,1,3,2
27558,True,False,1,0,1,0,1,1,1
27554,False,True,1,3,0,1,1,4,2
27552,,,0,0,0,0,0,0,0
27553,True,False,1,0,0,0,0,1,1
27561,True,False,1,0,1,0,1,1,1
27568,True,False,1,0,0,0,0,1,1
27573,False,True,0,1,0,0,0,1,2
27571,True,False,3,0,2,0,2,3,1
27564,True,False,1,0,1,0,1,1,1
27566,,,1,1,0,1,1,2,0
27570,False,True,0,2,0,1,1,2,2
27567,False,True,1,2,1,1,2,3,2
27565,True,False,2,1,0,0,0,3,1
27569,True,False,3,0,2,0,2,3,1
27572,,,1,1,1,1,2,2,0
27563,,,1,1,1,0,1,2,0
27580,True,False,1,0,0,0,0,1,1
27582,False,True,1,4,0,2,2,5,2
27584,False,True,0,2,0,1,1,2,2
27575,,,1,1,0,1,1,2,0
27578,False,True,1,3,0,1,1,4,2
27581,,,1,1,1,1,2,2,0
27579,False,True,0,2,0,1,1,2,2
27577,True,False,1,0,0,0,0,1,1
27583,,,1,1,0,1,1,2,0
27574,False,True,0,2,0,2,2,2,2
27576,True,False,2,1,0,0,0,3,1
27585,,,2,2,2,0,2,4,0
27591,,,1,1,1,1,2,2,0
27590,True,False,4,2,2,0,2,6,1
27594,True,False,1,0,1,0,1,1,1
27595,True,False,1,0,1,0,1,1,1
27586,True,False,2,0,1,0,1,2,1
27592,True,False,1,0,1,0,1,1,1
27587,True,False,2,0,1,0,1,2,1
27593,,,0,0,0,0,0,0,0
27588,,,2,2,2,0,2,4,0
27589,False,True,1,3,1,1,2,4,2
27601,True,False,4,1,2,0,2,5,1
27602,True,False,1,0,1,0,1,1,1
27597,True,False,1,0,0,0,0,1,1
27600,,,0,0,0,0,0,0,0
27605,False,True,1,2,0,1,1,3,2
27603,True,False,1,0,1,0,1,1,1
27598,,,1,1,0,0,0,2,0
27599,True,False,2,1,1,0,1,3,1
27596,,,1,1,1,1,2,2,0
27604,True,False,2,1,1,0,1,3,1
27606,,,1,1,1,0,1,2,0
27612,True,False,2,1,0,0,0,3,1
27609,True,False,2,1,0,1,1,3,1
27608,True,False,4,0,1,0,1,4,1
27614,True,False,3,1,1,0,1,4,1
27616,,,1,1,0,0,0,2,0
27607,True,False,3,0,1,0,1,3,1
27613,True,False,1,0,0,0,0,1,1
27617,,,0,0,0,0,0,0,0
27615,True,False,1,0,0,0,0,1,1
27611,True,False,1,0,1,0,1,1,1
27610,False,True,1,3,0,3,3,4,2
27622,True,False,2,0,1,0,1,2,1
27626,True,False,2,1,0,1,1,3,1
27619,True,False,1,0,0,0,0,1,1
27623,True,False,3,0,2,0,2,3,1
27621,,,1,1,0,1,1,2,0
27625,,,1,1,0,0,0,2,0
27624,True,False,1,0,1,0,1,1,1
27618,,,1,1,0,0,0,2,0
27627,True,False,2,1,0,0,0,3,1
27628,,,1,1,0,0,0,2,0
27620,,,0,0,0,0,0,0,0
27638,,,0,0,0,0,0,0,0
27629,True,False,2,0,1,0,1,2,1
27636,,,2,2,2,2,4,4,0
27633,True,False,1,0,0,0,0,1,1
27639,True,False,3,2,0,2,2,5,1
27634,False,True,1,2,1,1,2,3,2
27632,True,False,2,1,1,0,1,3,1
27637,,,1,1,0,0,0,2,0
27631,False,True,1,2,1,1,2,3,2
27630,True,False,2,0,1,0,1,2,1
27635,True,False,2,0,1,0,1,2,1
27640,True,False,2,0,2,0,2,2,1
27649,,,0,0,0,0,0,0,0
27647,True,False,2,1,0,1,1,3,1
27646,True,False,2,0,0,0,0,2,1
27644,True,False,4,2,1,1,2,6,1
27645,,,1,1,0,0,0,2,0
27643,True,False,5,1,0,1,1,6,1
27648,,,1,1,1,0,1,2,0
27642,True,False,2,1,1,1,2,3,1
27641,True,False,2,0,1,0,1,2,1
27650,False,True,0,2,0,2,2,2,2
27651,True,False,2,0,1,0,1,2,1
27657,False,True,0,1,0,0,0,1,2
27654,False,True,2,3,2,1,3,5,2
27652,True,False,4,0,1,0,1,4,1
27653,,,0,0,0,0,0,0,0
27656,,,0,0,0,0,0,0,0
27659,True,False,2,0,1,0,1,2,1
27658,True,False,3,0,0,0,0,3,1
27660,,,2,2,0,0,0,4,0
27661,,,0,0,0,0,0,0,0
27655,False,True,1,3,1,1,2,4,2
27666,,,2,2,1,0,1,4,0
27667,True,False,2,0,1,0,1,2,1
27671,False,True,1,4,1,1,2,5,2
27669,True,False,2,0,2,0,2,2,1
27672,,,2,2,0,2,2,4,0
27670,True,False,2,1,2,0,2,3,1
27668,False,True,1,2,0,1,1,3,2
27665,False,True,1,3,0,0,0,4,2
27663,True,False,1,0,0,0,0,1,1
27662,True,False,1,0,0,0,0,1,1
27664,,,1,1,0,0,0,2,0
27679,False,True,1,2,0,1,1,3,2
27678,,,2,2,1,2,3,4,0
27680,True,False,2,1,2,0,2,3,1
27675,True,False,2,0,1,0,1,2,1
27674,True,False,4,1,2,0,2,5,1
27681,True,False,1,0,1,0,1,1,1
27677,True,False,1,0,1,0,1,1,1
27676,False,True,0,1,0,1,1,1,2
27682,True,False,3,0,0,0,0,3,1
27683,True,False,2,1,1,0,1,3,1
27673,True,False,2,0,0,0,0,2,1
27693,False,True,0,1,0,1,1,1,2
27685,,,1,1,0,1,1,2,0
27687,False,True,0,1,0,0,0,1,2
27691,False,True,0,2,0,0,0,2,2
27684,,,1,1,1,1,2,2,0
27692,True,False,2,1,0,0,0,3,1
27690,,,0,0,0,0,0,0,0
27689,True,False,1,0,0,0,0,1,1
27688,True,False,3,0,0,0,0,3,1
77219,True,False,2,1,1,0,1,3,1
27686,,,0,0,0,0,0,0,0
27703,,,0,0,0,0,0,0,0
27697,,,2,2,2,0,2,4,0
27699,False,True,0,1,0,1,1,1,2
27694,,,2,2,2,1,3,4,0
27701,False,True,1,2,0,1,1,3,2
27702,False,True,1,2,1,2,3,3,2
27695,False,True,0,1,0,1,1,1,2
27696,True,False,1,0,0,0,0,1,1
27698,,,0,0,0,0,0,0,0
27700,True,False,4,2,2,1,3,6,1
27704,,,0,0,0,0,0,0,0
27710,True,False,1,0,0,0,0,1,1
27708,True,False,1,0,0,0,0,1,1
27711,False,True,1,2,0,2,2,3,2
27714,,,1,1,1,1,2,2,0
27715,True,False,1,0,0,0,0,1,1
27713,False,True,1,3,0,0,0,4,2
27712,True,False,2,1,0,0,0,3,1
27709,,,1,1,1,0,1,2,0
27707,False,True,0,1,0,0,0,1,2
27705,,,1,1,1,1,2,2,0
27706,True,False,3,1,3,1,4,4,1
27725,,,1,1,0,1,1,2,0
27722,True,False,2,0,1,0,1,2,1
27721,,,0,0,0,0,0,0,0
27723,,,0,0,0,0,0,0,0
27726,True,False,2,1,0,1,1,3,1
27720,,,2,2,1,0,1,4,0
27719,True,False,4,1,1,0,1,5,1
27718,True,False,3,0,1,0,1,3,1
27724,False,True,0,1,0,1,1,1,2
27716,True,False,1,0,0,0,0,1,1
27717,,,1,1,1,0,1,2,0
27731,,,1,1,0,0,0,2,0
27737,True,False,2,1,1,1,2,3,1
27729,True,False,3,0,1,0,1,3,1
27736,False,True,1,2,1,2,3,3,2
27727,True,False,2,0,1,0,1,2,1
27728,,,0,0,0,0,0,0,0
27730,True,False,1,0,0,0,0,1,1
27734,True,False,2,1,2,1,3,3,1
27732,False,True,0,3,0,1,1,3,2
27733,False,True,2,3,0,1,1,5,2
27735,,,0,0,0,0,0,0,0
27740,,,0,0,0,0,0,0,0
27738,,,1,1,0,1,1,2,0
27743,True,False,4,1,3,0,3,5,1
27747,,,1,1,0,1,1,2,0
27746,True,False,1,0,1,0,1,1,1
27745,True,False,1,0,0,0,0,1,1
27741,,,1,1,0,1,1,2,0
27739,,,0,0,0,0,0,0,0
27748,False,True,0,2,0,1,1,2,2
27744,,,1,1,1,0,1,2,0
27742,True,False,1,0,0,0,0,1,1
27749,,,0,0,0,0,0,0,0
27756,,,2,2,1,0,1,4,0
27754,True,False,3,2,3,0,3,5,1
27757,False,True,0,1,0,0,0,1,2
27753,True,False,2,1,0,1,1,3,1
27755,True,False,2,0,1,0,1,2,1
27758,True,False,2,0,1,0,1,2,1
27759,True,False,2,0,1,0,1,2,1
27750,True,False,2,0,1,0,1,2,1
27751,False,True,0,2,0,1,1,2,2
27752,True,False,2,1,2,0,2,3,1
27770,True,False,2,0,0,0,0,2,1
27762,False,True,0,1,0,0,0,1,2
27767,True,False,3,2,2,0,2,5,1
27764,,,1,1,1,1,2,2,0
27763,,,1,1,0,1,1,2,0
27769,,,0,0,0,0,0,0,0
27760,True,False,1,0,0,0,0,1,1
27766,,,0,0,0,0,0,0,0
27768,False,True,1,2,1,2,3,3,2
27761,True,False,2,1,0,1,1,3,1
27765,,,0,0,0,0,0,0,0
27775,,,1,1,1,0,1,2,0
27777,True,False,3,0,1,0,1,3,1
27771,False,True,1,3,1,0,1,4,2
27780,True,False,1,0,1,0,1,1,1
27772,,,0,0,0,0,0,0,0
27776,True,False,2,0,2,0,2,2,1
27779,True,False,2,1,2,1,3,3,1
27781,False,True,0,1,0,0,0,1,2
27778,True,False,1,0,0,0,0,1,1
27773,False,True,0,3,0,0,0,3,2
27774,,,1,1,1,1,2,2,0
27791,False,True,0,2,0,1,1,2,2
27787,True,False,1,0,0,0,0,1,1
27785,False,True,1,2,0,0,0,3,2
27786,,,1,1,0,0,0,2,0
27792,False,True,0,2,0,1,1,2,2
27789,False,True,1,2,1,0,1,3,2
27783,False,True,1,2,1,0,1,3,2
27782,True,False,2,0,1,0,1,2,1
27784,True,False,1,0,1,0,1,1,1
27788,False,True,0,1,0,0,0,1,2
27790,,,0,0,0,0,0,0,0
27794,False,True,1,2,1,2,3,3,2
27795,,,1,1,0,0,0,2,0
27796,True,False,2,0,1,0,1,2,1
27803,,,0,0,0,0,0,0,0
27800,True,False,1,0,0,0,0,1,1
27793,True,False,2,0,0,0,0,2,1
27798,True,False,3,0,1,0,1,3,1
27799,,,1,1,1,0,1,2,0
27801,False,True,0,1,0,0,0,1,2
27802,False,True,0,1,0,0,0,1,2
27797,True,False,1,0,1,0,1,1,1
27814,,,2,2,0,1,1,4,0
27804,,,0,0,0,0,0,0,0
27808,False,True,2,3,1,2,3,5,2
27805,True,False,2,0,0,0,0,2,1
27812,True,False,1,0,0,0,0,1,1
27809,True,False,1,0,0,0,0,1,1
27813,False,True,2,3,0,1,1,5,2
27806,True,False,3,1,1,1,2,4,1
27810,,,2,2,0,1,1,4,0
27811,,,0,0,0,0,0,0,0
27807,False,True,0,1,0,1,1,1,2
27815,True,False,1,0,0,0,0,1,1
27816,,,1,1,0,0,0,2,0
27821,True,False,1,0,1,0,1,1,1
27824,False,True,0,1,0,0,0,1,2
27819,,,1,1,0,1,1,2,0
27820,False,True,1,2,1,2,3,3,2
27823,False,True,0,3,0,1,1,3,2
27822,,,1,1,1,0,1,2,0
27818,,,1,1,1,1,2,2,0
27825,False,True,1,2,0,0,0,3,2
27817,,,2,2,1,1,2,4,0
27833,True,False,1,0,0,0,0,1,1
27835,True,False,1,0,0,0,0,1,1
27829,True,False,1,0,0,0,0,1,1
27827,True,False,1,0,1,0,1,1,1
27831,True,False,1,0,0,0,0,1,1
27834,True,False,2,0,1,0,1,2,1
27828,True,False,3,0,2,0,2,3,1
27830,True,False,1,0,1,0,1,1,1
27836,,,1,1,1,0,1,2,0
27826,False,True,0,1,0,0,0,1,2
27832,False,True,1,2,1,0,1,3,2
27837,True,False,1,0,0,0,0,1,1
27840,,,1,1,0,0,0,2,0
27847,True,False,1,0,1,0,1,1,1
27838,,,1,1,1,0,1,2,0
27846,False,True,0,1,0,0,0,1,2
27845,True,False,2,0,0,0,0,2,1
27841,False,True,1,2,1,1,2,3,2
27839,,,0,0,0,0,0,0,0
27844,True,False,3,0,1,0,1,3,1
27842,False,True,1,2,1,1,2,3,2
27843,,,1,1,1,0,1,2,0
27858,True,False,3,2,0,2,2,5,1
27849,,,0,0,0,0,0,0,0
27850,True,False,3,1,2,1,3,4,1
27854,False,True,0,3,0,1,1,3,2
27851,True,False,1,0,0,0,0,1,1
27856,True,False,4,0,3,0,3,4,1
27852,False,True,0,1,0,0,0,1,2
27848,,,1,1,0,0,0,2,0
27853,,,1,1,0,0,0,2,0
27857,True,False,1,0,1,0,1,1,1
27855,True,False,3,0,1,0,1,3,1
27864,,,1,1,0,1,1,2,0
27861,,,2,2,1,0,1,4,0
27865,True,False,2,1,0,0,0,3,1
27859,,,2,2,1,1,2,4,0
27868,False,True,0,1,0,0,0,1,2
27862,True,False,3,2,1,0,1,5,1
27866,True,False,1,0,1,0,1,1,1
27860,,,0,0,0,0,0,0,0
27867,,,1,1,1,0,1,2,0
27863,False,True,0,1,0,0,0,1,2
27869,True,False,3,0,3,0,3,3,1
27880,False,True,0,1,0,1,1,1,2
27872,False,True,0,2,0,0,0,2,2
27874,True,False,1,0,0,0,0,1,1
27876,True,False,1,0,1,0,1,1,1
27879,,,1,1,0,0,0,2,0
27878,True,False,1,0,0,0,0,1,1
27870,False,True,0,1,0,1,1,1,2
27877,,,2,2,1,0,1,4,0
27875,True,False,2,0,1,0,1,2,1
27873,True,False,1,0,1,0,1,1,1
27871,,,3,3,1,2,3,6,0
27890,True,False,1,0,1,0,1,1,1
27885,False,True,1,2,0,1,1,3,2
27887,True,False,2,1,2,1,3,3,1
27882,True,False,3,0,2,0,2,3,1
27888,False,True,1,3,1,1,2,4,2
27889,False,True,0,1,0,0,0,1,2
27881,,,1,1,0,0,0,2,0
27886,,,1,1,1,0,1,2,0
27883,False,True,0,4,0,1,1,4,2
27884,False,True,0,3,0,0,0,3,2
27891,False,True,0,2,0,1,1,2,2
27893,False,True,1,4,1,2,3,5,2
27898,False,True,1,2,0,1,1,3,2
27892,True,False,4,2,3,2,5,6,1
27897,,,0,0,0,0,0,0,0
27899,True,False,2,0,2,0,2,2,1
27902,True,False,1,0,0,0,0,1,1
27894,True,False,2,1,1,0,1,3,1
27895,False,True,1,2,0,1,1,3,2
27900,,,3,3,2,1,3,6,0
27901,False,True,1,3,0,1,1,4,2
27896,False,True,1,2,1,0,1,3,2
27909,False,True,1,2,0,2,2,3,2
27908,False,True,0,1,0,0,0,1,2
27903,False,True,0,1,0,0,0,1,2
27910,True,False,2,0,0,0,0,2,1
27905,True,False,1,0,1,0,1,1,1
27912,False,True,0,1,0,0,0,1,2
27911,,,1,1,0,1,1,2,0
27913,,,1,1,1,0,1,2,0
27906,True,False,2,0,2,0,2,2,1
27907,True,False,4,1,3,0,3,5,1
27904,False,True,0,3,0,0,0,3,2
27915,,,0,0,0,0,0,0,0
27919,False,True,0,1,0,0,0,1,2
27924,False,True,0,1,0,0,0,1,2
27923,True,False,2,1,0,0,0,3,1
27917,True,False,1,0,0,0,0,1,1
27920,True,False,4,2,2,1,3,6,1
27921,True,False,2,1,1,1,2,3,1
27918,True,False,2,1,0,0,0,3,1
27914,,,0,0,0,0,0,0,0
27922,,,1,1,0,0,0,2,0
27916,,,1,1,1,1,2,2,0
27929,True,False,2,1,2,0,2,3,1
27935,,,0,0,0,0,0,0,0
27928,True,False,2,1,1,0,1,3,1
27932,True,False,2,0,1,0,1,2,1
27927,False,True,0,3,0,1,1,3,2
27933,True,False,1,0,0,0,0,1,1
27925,True,False,5,3,3,2,5,8,1
27926,,,1,1,1,0,1,2,0
27934,False,True,2,3,1,3,4,5,2
27930,True,False,1,0,1,0,1,1,1
27931,True,False,3,0,2,0,2,3,1
27946,True,False,4,2,1,1,2,6,1
27937,False,True,0,1,0,0,0,1,2
27940,True,False,3,0,1,0,1,3,1
27945,False,True,0,1,0,0,0,1,2
27943,True,False,1,0,0,0,0,1,1
27944,True,False,1,0,0,0,0,1,1
27941,True,False,3,2,0,1,1,5,1
27938,,,0,0,0,0,0,0,0
27942,True,False,1,0,0,0,0,1,1
27939,True,False,4,3,3,0,3,7,1
27936,False,True,0,1,0,0,0,1,2
27952,True,False,3,1,0,1,1,4,1
27955,,,0,0,0,0,0,0,0
27956,False,True,0,2,0,1,1,2,2
27954,True,False,2,0,1,0,1,2,1
27953,True,False,1,0,0,0,0,1,1
27947,,,0,0,0,0,0,0,0
27950,,,3,3,0,1,1,6,0
27957,True,False,2,1,1,0,1,3,1
27951,,,1,1,1,0,1,2,0
27949,,,0,0,0,0,0,0,0
27948,True,False,1,0,0,0,0,1,1
27961,False,True,2,3,0,2,2,5,2
27959,False,True,0,1,0,1,1,1,2
27967,False,True,0,1,0,0,0,1,2
27963,,,0,0,0,0,0,0,0
27962,,,0,0,0,0,0,0,0
27964,,,0,0,0,0,0,0,0
27965,,,1,1,0,0,0,2,0
27966,True,False,4,3,1,1,2,7,1
27960,False,True,0,1,0,1,1,1,2
27968,,,0,0,0,0,0,0,0
27958,False,True,1,2,0,1,1,3,2
27976,True,False,1,0,0,0,0,1,1
27974,True,False,3,0,1,0,1,3,1
27973,True,False,2,1,2,0,2,3,1
27970,True,False,2,0,1,0,1,2,1
27971,,,0,0,0,0,0,0,0
27969,True,False,3,0,0,0,0,3,1
27978,True,False,1,0,1,0,1,1,1
27977,True,False,1,0,0,0,0,1,1
27972,,,1,1,0,0,0,2,0
27975,,,1,1,1,0,1,2,0
27979,True,False,1,0,0,0,0,1,1
214402,,,0,0,0,0,0,0,0
214403,False,True,0,1,0,0,0,1,2
214404,True,False,3,0,0,0,0,3,1
214412,False,True,0,2,0,2,2,2,2
214405,,,2,2,2,1,3,4,0
214406,True,False,2,0,1,0,1,2,1
214407,True,False,3,2,1,0,1,5,1
214408,False,True,0,1,0,0,0,1,2
214411,,,1,1,0,0,0,2,0
214410,False,True,0,1,0,0,0,1,2
214409,True,False,3,1,0,1,1,4,1
214413,True,False,1,0,0,0,0,1,1
214414,,,1,1,1,0,1,2,0
214415,,,1,1,1,0,1,2,0
214416,False,True,1,2,0,0,0,3,2
214417,False,True,1,2,1,0,1,3,2
214418,,,1,1,0,0,0,2,0
214419,,,1,1,0,0,0,2,0
214420,,,1,1,1,0,1,2,0
214421,True,False,3,1,2,0,2,4,1
214422,True,False,3,2,1,0,1,5,1
214423,False,True,1,2,0,1,1,3,2
214426,True,False,1,0,0,0,0,1,1
214424,True,False,2,1,1,1,2,3,1
214428,True,False,2,0,0,0,0,2,1
214425,True,False,1,0,1,0,1,1,1
214427,,,2,2,0,1,1,4,0
214429,False,True,2,4,1,2,3,6,2
214430,True,False,3,1,2,1,3,4,1
214431,True,False,2,0,0,0,0,2,1
214434,True,False,1,0,1,0,1,1,1
214433,True,False,4,0,1,0,1,4,1
214432,True,False,2,1,1,0,1,3,1
214444,False,True,1,2,0,1,1,3,2
214436,False,True,0,1,0,0,0,1,2
214443,False,True,0,1,0,1,1,1,2
214439,,,1,1,0,1,1,2,0
214438,,,0,0,0,0,0,0,0
214445,,,0,0,0,0,0,0,0
214441,True,False,1,0,0,0,0,1,1
214440,True,False,3,1,1,0,1,4,1
214442,True,False,2,1,1,1,2,3,1
214437,,,1,1,1,0,1,2,0
214435,False,True,0,3,0,2,2,3,2
214454,True,False,2,0,1,0,1,2,1
214450,,,1,1,0,0,0,2,0
214451,True,False,1,0,0,0,0,1,1
214448,False,True,0,3,0,1,1,3,2
214447,True,False,2,0,1,0,1,2,1
214452,,,1,1,1,0,1,2,0
